num,Country,population,year_change,net_change,density,land_area_km2,migrants,fertility_rate,Median_age,Urban_pop_pct,World_share
68,Syria ,17500658,0.0252,430523,95,183630,-427391,2.8,26,0.6,0.0022
67,Ecuador ,17643054,0.0155,269392,71,248360,36400,2.4,28,0.63,0.0023
66,Guatemala ,17915568,0.019,334096,167,107160,-9215,2.9,23,0.52,0.0023
65,Zambia ,18383955,0.0293,522925,25,743390,-8000,4.7,18,0.45,0.0024
64,Kazakhstan ,18776707,0.0121,225280,7,2699700,-18000,2.8,31,0.58,0.0024
63,Chile ,19116201,0.0087,164163,26,743532,111708,1.7,35,0.85,0.0025
62,Malawi ,19129952,0.0269,501205,203,94280,-16053,4.3,18,0.18,0.0025
61,Romania ,19237691,-0.0066,-126866,84,230170,-73999,1.6,43,0.55,0.0025
60,Mali ,20250833,0.0302,592802,17,1220190,-40000,5.9,16,0.44,0.0026
59,Burkina Faso ,20903273,0.0286,581895,76,273600,-25000,5.2,18,0.31,0.0027
58,Sri Lanka ,21413249,0.0042,89516,341,62710,-97986,2.2,34,0.18,0.0027
57,Taiwan ,23816775,0.0018,42899,673,35410,30001,1.2,42,0.79,0.0031
56,Niger ,24206644,0.0384,895929,19,1266700,4000,7,15,0.17,0.0031
55,Australia ,25499884,0.0118,296686,3,7682300,158246,1.8,38,0.86,0.0033
54,North Korea ,25778816,0.0044,112655,214,120410,-5403,1.9,35,0.63,0.0033
53,Côte d'Ivoire ,26378274,0.0257,661730,83,318000,-8000,4.7,19,0.51,0.0034
52,Cameroon ,26545863,0.0259,669483,56,472710,-4800,4.6,19,0.56,0.0034
51,Madagascar ,27691018,0.0268,721711,48,581795,-1500,4.1,20,0.39,0.0036
50,Venezuela ,28435940,-0.0028,-79889,32,882050,-653249,2.3,30,N.A. ,0.0036
49,Nepal ,29136808,0.0185,528098,203,143350,41710,1.9,25,0.21,0.0037
48,Yemen ,29825964,0.0228,664042,56,527970,-30000,3.8,20,0.38,0.0038
47,Ghana ,31072940,0.0215,655084,137,227540,-10000,3.9,22,0.57,0.004
46,Mozambique ,31255435,0.0293,889399,40,786380,-5000,4.9,18,0.38,0.004
45,Malaysia ,32365999,0.013,416222,99,328550,50000,2,30,0.78,0.0042
44,Angola ,32866272,0.0327,1040977,26,1246700,6413,5.6,17,0.67,0.0042
43,Peru ,32971854,0.0142,461401,26,1280000,99069,2.3,31,0.79,0.0042
42,Uzbekistan ,33469203,0.0148,487487,79,425400,-8863,2.4,28,0.5,0.0043
41,Saudi Arabia ,34813871,0.0159,545343,16,2149690,134979,2.3,32,0.84,0.0045
40,Morocco ,36910560,0.012,438791,83,446300,-51419,2.4,30,0.64,0.0047
39,Canada ,37742154,0.0089,331107,4,9093510,242032,1.5,41,0.81,0.0048
38,Poland ,37846611,-0.0011,-41157,124,306230,-29395,1.4,42,0.6,0.0049
37,Afghanistan ,38928346,0.0233,886592,60,652860,-62920,4.6,18,0.25,0.005
36,Iraq ,40222493,0.0232,912710,93,434320,7834,3.7,21,0.73,0.0052
35,Ukraine ,43733762,-0.0059,-259876,75,579320,10000,1.4,41,0.69,0.0056
34,Sudan ,43849260,0.0242,1036022,25,1765048,-50000,4.4,20,0.35,0.0056
33,Algeria ,43851044,0.0185,797990,18,2381740,-10000,3.1,29,0.73,0.0056
32,Argentina ,45195774,0.0093,415097,17,2736690,4800,2.3,32,0.93,0.0058
31,Uganda ,45741007,0.0332,1471413,229,199810,168694,5,17,0.26,0.0059
30,Spain ,46754778,0.0004,18002,94,498800,40000,1.3,45,0.8,0.006
29,Colombia ,50882891,0.0108,543448,46,1109500,204796,1.8,31,0.8,0.0065
28,South Korea ,51269185,0.0009,43877,527,97230,11731,1.1,44,0.82,0.0066
27,Kenya ,53771296,0.0228,1197323,94,569140,-10000,3.5,20,0.28,0.0069
26,Myanmar ,54409800,0.0067,364380,83,653290,-163313,2.2,29,0.31,0.007
25,South Africa ,59308690,0.0128,750420,49,1213090,145405,2.4,28,0.67,0.0076
24,Tanzania ,59734218,0.0298,1728755,67,885800,-40076,4.9,18,0.37,0.0077
23,Italy ,60461826,-0.0015,-88249,206,294140,148943,1.3,47,0.69,0.0078
22,France ,65273511,0.0022,143783,119,547557,36527,1.9,42,0.82,0.0084
21,United Kingdom ,67886011,0.0053,355839,281,241930,260650,1.8,40,0.83,0.0087
20,Thailand ,69799978,0.0025,174396,137,510890,19444,1.5,40,0.51,0.009
19,Germany ,83783942,0.0032,266897,240,348560,543822,1.6,46,0.76,0.0107
18,Iran ,83992949,0.013,1079043,52,1628550,-55000,2.2,32,0.76,0.0108
17,Turkey ,84339067,0.0109,909452,110,769630,283922,2.1,32,0.76,0.0108
16,DR Congo ,89561403,0.0319,2770836,40,2267050,23861,6,17,0.46,0.0115
15,Vietnam ,97338579,0.0091,876473,314,310070,-80000,2.1,32,0.38,0.0125
14,Egypt ,102334404,0.0194,1946331,103,995450,-38033,3.3,25,0.43,0.0131
13,Philippines ,109581078,0.0135,1464463,368,298170,-67152,2.6,26,0.47,0.0141
12,Ethiopia ,114963588,0.0257,2884858,115,1000000,30000,4.3,19,0.21,0.0147
11,Japan ,126476461,-0.003,-383840,347,364555,71560,1.4,48,0.92,0.0162
10,Mexico ,128932753,0.0106,1357224,66,1943950,-60000,2.1,29,0.84,0.0165
9,Russia ,145934462,0.0004,62206,9,16376870,182456,1.8,40,0.74,0.0187
8,Bangladesh ,164689383,0.0101,1643222,1265,130170,-369501,2.1,28,0.39,0.0211
7,Nigeria ,206139589,0.0258,5175990,226,910770,-60000,5.4,18,0.52,0.0264
6,Brazil ,212559417,0.0072,1509890,25,8358140,21200,1.7,33,0.88,0.0273
5,Pakistan ,220892340,0.02,4327022,287,770880,-233379,3.6,23,0.35,0.0283
4,Indonesia ,273523615,0.0107,2898047,151,1811570,-98955,2.3,30,0.56,0.0351
3,United States ,331002651,0.0059,1937734,36,9147420,954806,1.8,38,0.83,0.0425
2,India ,1380004385,0.0099,13586631,464,2973190,-532687,2.2,28,0.35,0.177
1,China ,1439323776,0.0039,5540090,153,9388211,-348399,1.7,38,0.61,0.1847
